age;education;marital-status;occupation;race;income;ID
20~24;Higher education;spouse present;Technical;*;<=50K;177
20~24;Higher education;spouse present;Technical;*;>50K;253
20~24;Higher education;spouse present;Technical;*;<=50K;490
20~24;Higher education;spouse present;Technical;*;<=50K;549
20~24;Higher education;spouse present;Technical;*;>50K;810
20~24;Higher education;spouse present;Technical;*;>50K;3164
20~24;Higher education;spouse present;Technical;*;>50K;3876
20~24;Higher education;spouse present;Technical;*;<=50K;3955
20~24;Higher education;spouse present;Technical;*;<=50K;4120
20~24;Higher education;spouse present;Technical;*;<=50K;4883
20~24;Higher education;spouse present;Technical;*;<=50K;5382
20~24;Higher education;spouse present;Technical;*;<=50K;6006
20~24;Higher education;spouse present;Technical;*;<=50K;6332
20~24;Higher education;spouse present;Technical;*;<=50K;6558
20~24;Higher education;spouse present;Technical;*;<=50K;7114
20~24;Higher education;spouse present;Technical;*;<=50K;7250
20~24;Higher education;spouse present;Technical;*;<=50K;8405
20~24;Higher education;spouse present;Technical;*;<=50K;8526
20~24;Higher education;spouse present;Technical;*;<=50K;8740
20~24;Higher education;spouse present;Technical;*;<=50K;8803
20~24;Higher education;spouse present;Technical;*;<=50K;8817
20~24;Higher education;spouse present;Technical;*;<=50K;11046
20~24;Higher education;spouse present;Technical;*;<=50K;12588
20~24;Higher education;spouse present;Technical;*;<=50K;12768
20~24;Higher education;spouse present;Technical;*;<=50K;12883
20~24;Higher education;spouse present;Technical;*;>50K;12918
20~24;Higher education;spouse present;Technical;*;>50K;12967
20~24;Higher education;spouse present;Technical;*;<=50K;13339
20~24;Higher education;spouse present;Technical;*;<=50K;14856
20~24;Higher education;spouse present;Technical;*;<=50K;14888
20~24;Higher education;spouse present;Technical;*;>50K;15483
20~24;Higher education;spouse present;Technical;*;<=50K;15666
20~24;Higher education;spouse present;Technical;*;<=50K;16324
20~24;Higher education;spouse present;Technical;*;<=50K;16473
20~24;Higher education;spouse present;Technical;*;>50K;16561
20~24;Higher education;spouse present;Technical;*;<=50K;18125
20~24;Higher education;spouse present;Technical;*;<=50K;18557
20~24;Higher education;spouse present;Technical;*;<=50K;19657
20~24;Higher education;spouse present;Technical;*;<=50K;19896
20~24;Higher education;spouse present;Technical;*;<=50K;21033
20~24;Higher education;spouse present;Technical;*;<=50K;22181
20~24;Higher education;spouse present;Technical;*;<=50K;22349
20~24;Higher education;spouse present;Technical;*;<=50K;22551
20~24;Higher education;spouse present;Technical;*;<=50K;23462
20~24;Higher education;spouse present;Technical;*;<=50K;23586
20~24;Higher education;spouse present;Technical;*;<=50K;23957
20~24;Higher education;spouse present;Technical;*;<=50K;24173
20~24;Higher education;spouse present;Technical;*;<=50K;24527
20~24;Higher education;spouse present;Technical;*;<=50K;24923
20~24;Higher education;spouse present;Technical;*;<=50K;25566
20~24;Higher education;spouse present;Technical;*;<=50K;25918
20~24;Higher education;spouse present;Technical;*;>50K;25995
20~24;Higher education;spouse present;Technical;*;<=50K;26053
20~24;Higher education;spouse present;Technical;*;<=50K;26452
20~24;Higher education;spouse present;Technical;*;<=50K;26834
20~24;Higher education;spouse present;Technical;*;<=50K;28753
20~24;Higher education;spouse present;Technical;*;<=50K;29643
20~24;Higher education;spouse present;Technical;*;<=50K;30117
20~24;Higher education;spouse present;Technical;*;>50K;30248
20~24;Higher education;spouse present;Technical;*;<=50K;30998
20~24;Higher education;spouse present;Technical;*;<=50K;31550
20~24;Higher education;spouse present;Technical;*;<=50K;31646
20~24;Higher education;spouse present;Technical;*;>50K;31647
20~24;Higher education;spouse present;Technical;*;<=50K;32199
20~24;Higher education;spouse present;Technical;*;<=50K;33163
