age;education;marital-status;occupation;race;income
20;Some-college;Married-civ-spouse;Technical;White;<=50K
20;Some-college;Married-civ-spouse;Technical;White;<=50K
20;Some-college;Married-civ-spouse;Technical;White;<=50K
15~19;Some-college;Married-civ-spouse;Other;White;<=50K
15~19;Some-college;Married-civ-spouse;Other;White;<=50K
15~19;Some-college;Married-civ-spouse;Other;White;<=50K
15~19;Some-college;spouse present;Nontechnical;White;<=50K
15~19;Some-college;spouse present;Nontechnical;White;<=50K
15~19;Some-college;spouse present;Nontechnical;White;<=50K
15~19;Some-college;spouse present;Nontechnical;White;<=50K
15~19;Some-college;spouse present;Nontechnical;White;<=50K
20;Some-college;Married-civ-spouse;Nontechnical;Black;<=50K
20;Some-college;Married-civ-spouse;Nontechnical;Black;<=50K
18;Some-college;Never-married;Tech-support;White;<=50K
18;Some-college;Never-married;Tech-support;White;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
19;Some-college;Never-married;Tech-support;*;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
20;Higher education;Never-married;Tech-support;White;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
15~19;Higher education;spouse not present;Craft-repair;*;<=50K
18;Higher education;Never-married;Prof-specialty;White;<=50K
18;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;>50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
19;Higher education;Never-married;Prof-specialty;White;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
20;Higher education;Never-married;Prof-specialty;*;<=50K
18;Some-college;Never-married;Machine-op-inspct;White;<=50K
18;Some-college;Never-married;Machine-op-inspct;White;<=50K
18;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;White;<=50K
19;Some-college;Never-married;Machine-op-inspct;Black;<=50K
19;Some-college;Never-married;Machine-op-inspct;Black;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
20;Higher education;Never-married;Machine-op-inspct;*;<=50K
