S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;Label
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
1~2;1~6;3~4;7~13;1;1~7;1~4;1~13;1~4;1~13;0
