ID;S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;Label
1;1;10;1;11;1;13;1;12;1;1;9
2;2;11;2;13;2;10;2;12;2;1;9
3;3;12;3;11;3;13;3;10;3;1;9
4;4;10;4;11;4;1;4;13;4;12;9
5;4;1;4;13;4;12;4;11;4;10;9
6;1;2;1;4;1;5;1;3;1;6;8
7;1;9;1;12;1;10;1;11;1;13;8
8;2;1;2;2;2;3;2;4;2;5;8
9;3;5;3;6;3;9;3;7;3;8;8
10;4;1;4;4;4;2;4;3;4;5;8
11;1;1;2;1;3;9;1;5;2;3;1
12;2;6;2;1;4;13;2;4;4;9;0
13;1;10;4;6;1;2;1;1;3;8;0
14;2;13;2;1;4;4;1;5;2;11;0
15;3;8;4;12;3;9;4;2;3;2;1
16;1;3;4;7;1;5;2;4;4;13;0
17;1;4;1;1;1;3;3;5;3;2;4
18;3;8;3;12;2;7;2;6;1;2;0
19;4;8;1;11;4;6;3;2;4;12;0
20;3;7;2;7;4;11;1;12;3;1;1
21;1;13;4;8;2;7;2;10;3;13;1
22;2;6;2;8;1;11;1;4;3;7;0
23;3;10;2;10;4;5;1;2;3;8;1
24;2;1;3;13;4;6;1;9;4;1;1
25;2;10;2;8;1;8;3;2;2;13;1
26;2;13;1;5;4;5;4;8;3;3;1
27;3;1;1;5;2;7;3;13;1;1;1
28;1;7;1;5;4;8;1;6;2;6;1
29;3;7;3;9;2;12;2;5;4;4;0
30;2;10;1;1;1;12;4;6;2;8;0
31;3;13;2;7;4;11;3;11;2;11;3
32;4;2;2;7;3;13;2;11;3;10;0
33;1;11;2;7;1;6;4;2;1;1;0
34;3;4;4;3;3;5;2;12;1;9;0
35;3;2;1;6;2;11;4;3;2;10;0
36;4;8;4;3;4;13;4;12;1;1;0
37;2;6;4;8;4;3;2;2;1;2;1
38;4;13;1;6;3;8;1;3;2;3;1
39;2;9;2;10;4;11;4;7;4;3;0
40;2;10;3;12;1;2;2;2;2;13;1
41;2;5;2;12;2;3;1;2;3;3;1
42;2;8;3;2;2;5;1;12;4;8;1
43;2;1;4;7;4;6;4;5;1;5;1
44;3;13;2;1;3;7;1;3;2;6;0
45;4;10;4;13;3;5;2;8;1;10;1
46;1;2;1;11;3;9;1;7;3;5;0
47;2;2;3;1;2;11;2;6;4;4;0
48;1;10;4;1;4;4;4;12;1;9;0
49;4;9;3;13;2;1;3;9;4;12;1
50;4;1;3;1;1;3;4;4;2;11;1
51;1;5;4;4;2;13;3;7;4;10;0
52;1;10;3;7;1;3;3;6;3;8;0
53;4;2;3;4;4;7;3;9;2;1;0
54;4;8;1;9;2;4;1;11;2;3;0
55;2;7;4;13;2;3;3;4;2;1;0
56;4;12;2;3;4;7;2;5;4;1;0
57;2;5;3;13;3;12;3;7;1;13;1
58;4;8;3;2;2;8;2;9;3;11;1
59;1;8;1;12;2;9;2;6;3;2;0
60;1;5;3;13;2;13;2;7;4;5;2
61;4;7;4;10;3;1;3;3;2;5;0
62;3;13;2;2;4;10;3;3;2;13;1
63;1;5;3;7;1;3;1;6;2;8;0
64;1;2;4;3;2;8;4;11;4;13;0
65;2;1;1;4;4;1;4;11;3;7;1
66;1;4;4;1;4;12;2;3;4;13;0
67;1;9;4;1;4;7;4;4;3;2;0
68;4;3;3;1;1;6;1;5;2;10;0
69;2;9;4;2;3;3;2;6;3;9;1
70;3;1;1;5;4;8;3;10;3;5;1
71;4;7;4;5;2;9;3;8;1;5;1
72;4;13;1;11;4;4;3;5;4;1;0
73;4;13;3;8;1;1;4;6;1;13;1
74;4;8;4;4;4;2;4;1;4;7;5
75;2;3;4;10;3;5;3;13;4;3;1
76;1;4;2;13;3;1;4;4;4;1;2
77;3;2;4;10;2;6;1;12;3;10;1
78;2;11;3;9;1;11;4;8;3;8;2
79;2;4;1;4;2;5;1;8;1;13;1
80;2;13;1;9;1;2;1;4;4;4;1
81;4;2;3;10;1;12;3;7;4;8;0
82;2;6;1;13;4;5;2;2;4;9;0
83;1;12;4;5;4;13;3;11;3;10;0
84;2;7;2;3;3;13;3;11;1;4;0
85;2;10;2;11;2;5;3;6;2;4;0
86;2;12;4;6;3;9;4;1;4;12;1
87;1;8;1;10;2;13;3;5;1;4;0
88;2;7;1;4;2;13;3;2;4;12;0
89;2;7;4;12;4;1;4;13;3;11;0
90;1;9;3;3;4;4;1;10;2;1;0
91;2;1;3;12;3;8;1;2;3;1;1
92;1;9;3;10;1;8;4;4;1;5;0
93;2;1;2;8;2;6;3;1;3;4;1
94;4;11;3;12;3;4;4;12;4;7;1
95;3;2;4;12;3;8;2;7;3;11;0
96;3;12;2;12;2;8;3;11;1;6;1
97;3;7;1;8;1;7;4;12;2;8;2
98;1;9;4;6;4;9;2;9;1;1;3
99;3;10;1;7;4;7;4;6;1;11;1
100;2;10;1;4;3;12;4;9;2;9;1
101;2;11;2;3;3;1;2;9;3;2;0
102;1;13;1;3;1;12;4;11;2;12;1
103;2;7;1;6;3;6;4;13;4;9;1
104;2;1;3;2;2;10;4;1;4;12;1
105;2;2;2;8;4;9;3;12;4;5;0
106;4;9;2;11;4;7;3;12;1;4;0
107;1;6;3;9;2;8;2;2;4;9;1
108;1;7;4;4;4;12;3;7;2;2;1
109;4;10;2;1;4;11;3;11;2;11;3
110;3;12;1;1;3;13;4;11;2;7;0
111;4;5;3;11;2;7;4;8;3;8;1
112;3;4;2;11;4;8;1;12;4;6;0
113;4;1;3;10;3;3;3;13;3;11;0
114;2;2;3;4;4;13;1;5;2;13;1
115;1;2;2;9;1;12;3;10;1;11;0
116;1;3;2;1;3;13;3;4;1;9;0
117;3;6;2;13;4;13;3;10;2;12;1
118;3;9;4;12;4;10;1;3;1;6;0
119;4;7;3;2;4;5;3;9;2;5;1
120;4;2;2;7;3;13;2;12;1;7;1
121;2;3;1;5;3;7;4;1;3;8;0
122;2;9;1;4;2;5;2;10;4;1;0
123;3;1;4;10;2;10;1;5;2;11;1
124;2;13;4;6;1;11;3;3;4;7;0
